Customer Id,Customer Name,VIN,Location,Street Address,State,City,Zip,Phone,Email
CUS1008,Silvia Stone,1GCBS1941RP397653,Glen Allen,123 Nope Dr,VA,Glen Allen,23060,8043462277,SilviaStone@yahoo.com
CUS1009,Billy Kid,1GCBS1941LK397654,Midlothian,234B Leafy St,VA,Midlothian,23114,8043797264,Billy_Kid@gmail.com
CUS1014,Rita Skeeter,1GCBS1943FK397789,Woodbridge,2343 Blanco,VA,Woodbridge,22192,7035766550,RitaSkeeter@aol.com
CUS1015,Alastor Moody,1GKBS1941RK367993,Fredericksburg,643 Warzbach PKWY,VA,Fredericksburg,22407,5407107781,Alastor23@gmail.com
CUS1016,Pansy Parkinson,1GCRS197FGK396789,Brandywine,912 Silver Sands Dr,MD,Brandywine,20613,3017822942,PParkinson@gmail.com
CUS1017,Lily Potter,1G4BS1941RK397624,Sterling,138 Colonial,VA,Sterling,20166,7034044386,Lily_Potter_12@yahoo.com
CUS1018,Harry Potter,1ACYS1941OI397651,Gaithersburg,34 Mt Olive Drive,MD,Gaithersburg,20877,3019479790,goldensnitch@aol.com
CUS1019,Draco Malfoy,1OCMS1941RK397653,Laurel,234 38 1/2 St,MD,Laurel,20723,3016048560,The_Draco_Malfoy@gmail.com
CUS1020,Ron Weasley,1UHGS1941RK397656,Frederick,3902 Robinson Ave,MD,Frederick,21704,3016624380,RWeasley@yahoo.com
CUS1021,Ginny Weasley,1TYGS1941RK376553,Ellicott City,3245 Military HWY,MD,Ellicott City,21043,4106963500,Iloveharry@aol.com
CUS1022,Hermione Granger,1REDS1941RK335753,White Marsh,8393 Coral Drive #34,MD,White Marsh,21162,4109316500,Proud_muggle@gmail.com
CUS1023,Albus Dumbeldor,1GUGS1941RK397690,Cockeysville,589 Florida Ave,MD,Cockeysville,21030,4109317908,lemondrop1001@yahoo.com
CUS1024,Severus Snape,1JKNJ1941RK393049,Hoover,353 Larrys Lane,AL,Hoover,35244,2059850556,Darkarts1@yahoo.com
CUS1025,Sirius Black,1GCBS1941GK392053,Buford,534 Pearl St,GA,Buford,30519,6784820765,blackdog@gmail.com
CUS1026,Cho Chang,1HJJ90HJ866789765,Knoxville,3425 Not Today,TN,Knoxville,37934,8652187800,Cho_Chang@yahoo.com
CUS1027,Cedric Diggory,1GHGD1941RK334601,Norcross,90 Parsons Street,GA,Norcross,30071,7702638808,Cedric_Diggory@gmail.com
CUS1028,Rubeus Hagrid,1GCAS1941VK123463,Kennesaw,323 Unit A Ally Pkwy,GA,Kennesaw,30144,7709192277,fantasticbeast@yahoo.com
CUS1029,Viktor Krum,1GLPQ1941RP397878,Lithia Springs,23 South 4th Street,GA,Lithia Springs,30122,7707450372,Beastmode6000@aol.com
CUS1030,Neville Longbottom,1GYYH1941AB387645,Roswell,1 Bitters Way,GA,Roswell,30076,7702806200,iforgotten@yahoo.com
CUS1031,Luna Lovegood,1GOPY1941VX368553,Stockbridge,34 Go away lane,GA,Stockbridge,30281,7705068484,LLovegood@gmail.com
